hwd;pronSampa;ipa
avallone;{ v @ l @U n;ævəloʊn
findler;f I n d l 3:r;fɪndlɜ:r
ahrendt;A r\ i n t;ɑɹint
gyohten;g j @U t @ n;gjoʊtən
burley;b 3:r l i:;bɜ:rliː
minutemen;m I n @ t m E n;mɪnətmɛn
herrle;h E r\ @ l;hɛɹəl
tonsils;t A n s @ l z;tɑnsəlz
omitted;@U m I 4 @ d;oʊmɪɾəd
gnashing;n { S i N;næʃiŋ
fitzer;f I t s 3:r;fɪtsɜ:r
capricious;k @ p r\ I S @ s;kəpɹɪʃəs
falgoust;f A l g u s t;fɑlgust
subordinates;s @ b O: r\ d @ n eI t s;səbOːɹdən?ts
prison;p r\ I z @ n;pɹɪzən
ference;f I r\ @ n s;fɪɹəns
oliver;A l @ v 3:r;ɑləvɜ:r
carriero;k A r\ I r\ @U;kɑɹɪɹoʊ
verba;v E r\ b @;vɛɹbə
frailties;f r\ eI l t i: z;fɹ?ltiːz
croc;k r\ A k;kɹɑk
digesting;d aI dZ E s t i N;d??ɛstiŋ
ohba;@U b @;oʊbə
nicholas'(2);n I k l @ s;nɪkləs
promised;p r\ A m @ s t;pɹɑməst
purveyor;p 3:r v eI 3:r;pɜ:rv?ɜ:r
momma;m A m @;mɑmə
estimable;E s t @ m @ b @ l;ɛstəməbəl
josie;dZ @U z i:;?oʊziː
vitello;v i t E l @U;vitɛloʊ
gari;g A r\ i:;gɑɹiː
crowing;k r\ @U i N;kɹoʊiŋ
privatizing;p r\ aI v @ t aI z i N;pɹ?vət?ziŋ
shake;S eI k;ʃ?k
alienates;eI l i: @ n eI t s;?liːən?ts
tunisian;t u n i: Z @ n;tuniːʒən
dynamo;d aI n @ m @U;d?nəmoʊ
nemec;n E m i k;nɛmik
bled;b l E d;blɛd
yasuhiro;j A s u h i: r\ @U;jɑsuhiːɹoʊ
oriental;O: r\ i: E n t @ l;Oːɹiːɛntəl
plotts;p l A t s;plɑts
toupee;t u p eI;tup?
kruszewski;k r\ @ S E f s k i:;kɹəʃɛfskiː
perfume;p 3:r f j u m;pɜ:rfjum
ephemeral;i f E m 3:r @ l;ifɛmɜ:rəl
cannizzaro;k A n i: t s A r\ @U;kɑniːtsɑɹoʊ
robins';r\ A b @ n z;ɹɑbənz
milln;m I l n;mɪln
wei;w eI;w?
reist;r\ i: i s t;ɹiːist
meta;m i: 4 @;miːɾə
ga(3);dZ O: r\ dZ @;?Oːɹ?ə
fireweed;f aI 3:r w i: d;f?ɜ:rwiːd
pronouncements;p r\ @ n aU n s m @ n t s;pɹən?nsmənts
daley;d eI l i:;d?liː
ketchikan;k E tS i k { n;kɛ?ikæn
tufted;t V f t @ d;tʌftəd
cramp;k r\ { m p;kɹæmp
mispronounce;m i s p r\ @ n aU n s;mispɹən?ns
bateman;b eI t m @ n;b?tmən
castilleja;k A s t i: l eI j @;kɑstiːl?jə
incapacity;i n k @ p { s @ 4 i:;inkəpæsəɾiː
jovial;dZ @U v i: @ l;?oʊviːəl
debby;d E b i:;dɛbiː
ferrigno;f 3:r i: g n @U;fɜ:riːgnoʊ
rehearings;r\ i: h I r\ i N z;ɹiːhɪɹiŋz
denault;d i n @U;dinoʊ
stopover;s t A p @U v 3:r;stɑpoʊvɜ:r
lieutenant;l u t E n @ n t;lutɛnənt
muse;m j u z;mjuz
nusser;n V s 3:r;nʌsɜ:r
riggings;r\ I g i N z;ɹɪgiŋz
refrigerators;r\ i f r\ I dZ 3:r eI 4 3:r z;ɹifɹɪ?ɜ:r?ɾɜ:rz
demotion;d i m @U S @ n;dimoʊʃən
chretien;S r\ i t i: n;ʃɹitiːn
lifting;l I f t i N;lɪftiŋ
grumblings;g r\ V m b @ l i N z;gɹʌmbəliŋz
barbarino;b A r\ b A r\ i: n @U;bɑɹbɑɹiːnoʊ
nandi;n A n d i:;nɑndiː
carruthers;k 3:r V D 3:r z;kɜ:rʌðɜ:rz
logar;l @U g 3:r;loʊgɜ:r
crowns;k r\ aU n z;kɹ?nz
jarema;j 3:r i: m @;jɜ:riːmə
reformers';r\ i f O: r\ m 3:r z;ɹifOːɹmɜ:rz
pesavento;p E s @ v E n t @U;pɛsəvɛntoʊ
hadson;h { d s @ n;hædsən
ceramic;s 3:r { m i k;sɜ:ræmik
veney;v E n i:;vɛniː
kojima;k @ j aI m @;kəj?mə
improve;i m p r\ u v;impɹuv
reserve's(2);r\ i: z 3:r v z;ɹiːzɜ:rvz
reverie;r\ E v 3:r i:;ɹɛvɜ:riː
indicted;i n d aI 4 @ d;ind?ɾəd
charmaine;S A r\ m eI n;ʃɑɹm?n
wycoff;w I k O: f;wɪkOːf
beshara;b i S A r\ @;biʃɑɹə
february;f E b j @ w E r\ i:;fɛbjəwɛɹiː
krajina(2);k r\ aI i: n @;kɹ?iːnə
slutzky;s l V t s k i:;slʌtskiː
broomall;b r\ u m @ l;bɹuməl
scholten;S @U l t @ n;ʃoʊltən
cap's;k { p s;kæps
adaptable;@ d { p t @ b @ l;ədæptəbəl
tso(2);s @U;soʊ
rematch;r\ i: m { tS;ɹiːmæ?
groesbeck;g r\ @U s b E k;gɹoʊsbɛk
pedaling(2);p E d l i N;pɛdliŋ
ricker;r\ I k 3:r;ɹɪkɜ:r
zayas;z eI A z;z?ɑz
timor;t i: m O: r\;tiːmOːɹ
transmutability;t r\ { n z m u 4 @ b I l i 4 i:;tɹænzmuɾəbɪliɾiː
whitenight;w aI t n aI t;w?tn?t
nilan;n i: l A n;niːlɑn
manually;m { n j u @ l i:;mænjuəliː
reason;r\ i: z @ n;ɹiːzən
jeffs;dZ E f s;?ɛfs
milling;m I l i N;mɪliŋ
maland;m { l @ n d;mælənd
harbeson;h A r\ b i s @ n;hɑɹbisən
vetted;v E 4 i d;vɛɾid
hazlett;h { z l i t;hæzlit
bortner;b O: r\ t n 3:r;bOːɹtnɜ:r
snipes;s n aI p s;sn?ps
windheim;w I n d h aI m;wɪndh?m
uh-huh;V h V;ʌhʌ
medinger;m i: 4 i N 3:r;miːɾiŋɜ:r
reeking;r\ i: k i N;ɹiːkiŋ
caribbean;k 3:r I b i: @ n;kɜ:rɪbiːən
savastano;s A v A s t A n @U;sɑvɑstɑnoʊ
honorarium;A n 3:r E r\ i: @ m;ɑnɜ:rɛɹiːəm
aldous;A l d @ s;ɑldəs
streit;s t r\ aI t;stɹ?t
indonesians(2);I n d @U n i: Z @ n z;ɪndoʊniːʒənz
hegelian;h i: dZ i: l i: @ n;hiː?iːliːən
keytal;k i: t @ l;kiːtəl
holverson;h A l v 3:r s @ n;hɑlvɜ:rsən
iddings;I 4 i N z;ɪɾiŋz
wiggle;w I g @ l;wɪgəl
shrift;S r\ I f t;ʃɹɪft
voided;v OI 4 i d;v?ɾid
tahiti;t @ h i: 4 i:;təhiːɾiː
sumatomo;s u m @ t @U m @U;sumətoʊmoʊ
igman;I g m @ n;ɪgmən
selas;s E l @ s;sɛləs
garman;g A r\ m @ n;gɑɹmən
fundora;f u n d O: r\ @;fundOːɹə
deporting;d i p O: r\ 4 i N;dipOːɹɾiŋ
personalized;p 3:r s @ n @ l aI z d;pɜ:rsənəl?zd
tomaino;t @U m A i: n @U;toʊmɑiːnoʊ
messing;m E s i N;mɛsiŋ
horvath's;h O: r\ v { T s;hOːɹvæθs
mikhail(2);m i k aI l;mik?l
munkres;m V N k 3:r z;mʌŋkɜ:rz
impressively;i m p r\ E s i v l i:;impɹɛsivliː
locher;l A k 3:r;lɑkɜ:r
incest;I n s E s t;ɪnsɛst
biddle's;b I 4 @ l z;bɪɾəlz
sale;s eI l;s?l
dawns;d O: n z;dOːnz
verville;v 3:r v i l;vɜ:rvil
geiger;g aI g 3:r;g?gɜ:r
cheng-hua;tS E N h w A;?ɛŋhwɑ
ballistics;b @ l I s t i k s;bəlɪstiks
minimum;m I n @ m @ m;mɪnəməm
puming;p u m i N;pumiŋ
gatien;g eI t j E n;g?tjɛn
wheelock;w i: l A k;wiːlɑk
inaction;i n { k S @ n;inækʃən
barn;b A r\ n;bɑɹn
gmbh(2);dZ i: E m b i: eI tS;?iːɛmbiː??
declines;d i k l aI n z;dikl?nz
baumeister;b aU m aI s t 3:r;b?m?stɜ:r
phenomenal;f @ n A m @ n @ l;fənɑmənəl
dunned;d V n d;dʌnd
jacka;dZ { k @;?ækə
mcauliffe;m @ k O: l @ f;məkOːləf
unedited;@ n E 4 @ 4 i d;ənɛɾəɾid
marshmallows;m A r\ S m E l @U z;mɑɹʃmɛloʊz
boykins;b OI k i n z;b?kinz
widen;w aI d @ n;w?dən
muti(2);m j u 4 i:;mjuɾiː
scriptwriter;s k r\ I p t r\ aI 4 3:r;skɹɪptɹ?ɾɜ:r
delbert;d E l b 3:r t;dɛlbɜ:rt
tends;t E n d z;tɛndz
lavecchia;l A v E k i: @;lɑvɛkiːə
comportment;k @ m p O: r\ t m @ n t;kəmpOːɹtmənt
crackel;k r\ { k @ l;kɹækəl
intermarriage;I n t 3:r m E r\ i dZ;ɪntɜ:rmɛɹi?
fieldwork;f i: l d w 3:r k;fiːldwɜ:rk
lindenberg;l I n d @ n b 3:r g;lɪndənbɜ:rg
sextuplet;s E k s t V p l i t;sɛkstʌplit
rettinger;r\ E t i n dZ 3:r;ɹɛtin?ɜ:r
harn;h A r\ n;hɑɹn
weightlifters;w eI t l I f t 3:r z;w?tlɪftɜ:rz
laut;l O: t;lOːt
surfaces;s 3:r f @ s @ z;sɜ:rfəsəz
hallucinating(2);h @ l u s i n eI 4 i N;həlusin?ɾiŋ
carbohydrate(2);k A r\ b @U h aI d r\ @ t;kɑɹboʊh?dɹət
mucky;m V k i:;mʌkiː
nupeng;n j u p E N;njupɛŋ
schaffler;S { f l 3:r;ʃæflɜ:r
guzzlers(2);g V z l 3:r z;gʌzlɜ:rz
bioengineering;b aI @U E n dZ @ n I r\ i N;b?oʊɛn?ənɪɹiŋ
gengenbach(2);dZ E N @ n b A k;?ɛŋənbɑk
jokhang;dZ A k h { N;?ɑkhæŋ
lue;l u;lu
document;d A k j @ m E n t;dɑkjəmɛnt
related(3);r\ i: l eI 4 i d;ɹiːl?ɾid
covelli;k @U v E l i:;koʊvɛliː
sweden;s w i: d @ n;swiːdən
cushy;k U S i:;kʊʃiː
cinders;s I n d 3:r z;sɪndɜ:rz
preliminary;p r\ i l I m @ n E r\ i:;pɹilɪmənɛɹiː
calipers;k { l @ p 3:r z;kæləpɜ:rz
riva;r\ i: v @;ɹiːvə
priests(3);p r\ i: s;pɹiːs
schwartzkopf;S w O: r\ t s k O: p f;ʃwOːɹtskOːpf
verb;v 3:r b;vɜ:rb
exception;i k s E p S @ n;iksɛpʃən
marshmallow;m A r\ S m E l @U;mɑɹʃmɛloʊ
croitzer;k r\ OI t s 3:r;kɹ?tsɜ:r
crans;k r\ { n z;kɹænz
mierzwa;m i: r\ z w @;miːɹzwə
whistling;w I s l i N;wɪsliŋ
battista;b @ t i: s t @;bətiːstə
geng;dZ E N;?ɛŋ
vivaldi;v i v A l d i:;vivɑldiː
thunderbolt;T V n d 3:r b O: l t;θʌndɜ:rbOːlt
meads;m i: d z;miːdz
aching;eI k i N;?kiŋ
placzek;p l A tS E k;plɑ?ɛk
drexler;d r\ E k s l 3:r;dɹɛkslɜ:r
ellerbrock;i l 3:r b r\ @ k;ilɜ:rbɹək
saltz;s { l t s;sælts
argued;A r\ g j u d;ɑɹgjud
imperialistic;i m p i: r\ i: @ l I s t i k;impiːɹiːəlɪstik
lawner(2);l aU n 3:r;l?nɜ:r
colonized;k A l @ n aI z d;kɑlən?zd
energized;E n 3:r dZ aI z d;ɛnɜ:r??zd
lonigro;l @U n i: g r\ @U;loʊniːgɹoʊ
migliaccio;m i: g l i: A tS i: @U;miːgliːɑ?iːoʊ
noffsinger;n A f s i n dZ 3:r;nɑfsin?ɜ:r
mobilized;m @U b @ l aI z d;moʊbəl?zd
sileo;s I l i: @U;sɪliːoʊ
waites;w eI t s;w?ts
corissa;k O: r\ I s @;kOːɹɪsə
repressed;r\ i: p r\ E s t;ɹiːpɹɛst
bushnell;b U S n @ l;bʊʃnəl
kreisberg;k r\ aI s b 3:r g;kɹ?sbɜ:rg
narcisse;n A r\ s i s;nɑɹsis
charmain;S A r\ m eI n;ʃɑɹm?n
alcina;A l tS i: n @;ɑl?iːnə
megafood;m E g @ f u d;mɛgəfud
sylvan;s I l v @ n;sɪlvən
beebower(2);b i: b aU 3:r;biːb?ɜ:r
assists;@ s I s t s;əsɪsts
reviewed;r\ i: v j u d;ɹiːvjud
congressional;k @ n g r\ E S @ n @ l;kəngɹɛʃənəl
bourgoin;b U r\ g OI n;bʊɹg?n
hydrotherapy;h aI d r\ @U T E r\ @ p i:;h?dɹoʊθɛɹəpiː
bee;b i:;biː
kepp;k E p;kɛp
wilmar;w I l m 3:r;wɪlmɜ:r
gigot;dZ I g @ t;?ɪgət
phoenix's;f i: n i k s i z;fiːniksiz
smethurst;s m E T 3:r s t;smɛθɜ:rst
innings;I n i N z;ɪniŋz
sens;s E n z;sɛnz
angevine;eI N g i v aI n;?ŋgiv?n
haye;h eI;h?
shirrell;S O: r\ @ l;ʃOːɹəl
cuenca;k w E n k @;kwɛnkə
federative;f E 4 3:r @ 4 i v;fɛɾɜ:rəɾiv
devices(2);d i v aI s i z;div?siz
hollern;h A l 3:r n;hɑlɜ:rn
halle(2);h { l i:;hæliː
rulebook;r\ u l b U k;ɹulbʊk
archivists(3);A r\ k @ v i s s;ɑɹkəviss
algy;{ l dZ i:;æl?iː
superiority;s u p i r\ i: O: r\ i 4 i:;supiɹiːOːɹiɾiː
casselman;k { s @ l m @ n;kæsəlmən
jacuzzi;dZ @ k j u z i:;?əkjuziː
bois;b w A;bwɑ
warlike;w O: r\ l aI k;wOːɹl?k
cheviots;tS i: v i: @ t s;?iːviːəts
smithfield;s m I T f i: l d;smɪθfiːld
osuch;A s @ k;ɑsək
westhoff;w E s t h O: f;wɛsthOːf
ranieri;r\ { n i: E r\ i:;ɹæniːɛɹiː
pott;p A t;pɑt
andreas;A n d r\ eI @ s;ɑndɹ?əs
tangential;t { n dZ E n tS @ l;tæn?ɛn?əl
kall;k O: l;kOːl
distances(2);d I s t @ n s i z;dɪstənsiz
durie;d U r\ i:;dʊɹiː
hershkowitz;h 3:r S k @ w i t s;hɜ:rʃkəwits
tomasina;t O: m @ s i: n @;tOːməsiːnə
nucor;n u k O: r\;nukOːɹ
meidl;m i: 4 @ l;miːɾəl
scorpio;s k O: r\ p i: @U;skOːɹpiːoʊ
rubenfeld;r\ V b i n f E l d;ɹʌbinfɛld
officers;O: f @ s 3:r z;Oːfəsɜ:rz
salvaggio;s A l v A dZ i: @U;sɑlvɑ?iːoʊ
module;m A dZ u l;mɑ?ul
lepkowski;l i p k O: f s k i:;lipkOːfskiː
guarantees;g E r\ @ n t i: z;gɛɹəntiːz
reallocating;r\ i: { l @ k eI 4 i N;ɹiːælək?ɾiŋ
smee;s m i:;smiː
villager;v I l i dZ 3:r;vɪli?ɜ:r
mayer;m eI 3:r;m?ɜ:r
flypaper;f l aI p eI p 3:r;fl?p?pɜ:r
pelekunu's;p E l @ k u n u z;pɛləkunuz
feodor;f i: @ 4 3:r;fiːəɾɜ:r
cardigans;k A r\ 4 i g @ n z;kɑɹɾigənz
seratonin;s 3:r A t @U n i n;sɜ:rɑtoʊnin
arlena;A r\ l i n @;ɑɹlinə
jaya;dZ aI @;??ə
keg;k E g;kɛg
of;V v;ʌv
tantalus;t { n t @ l @ s;tæntələs
caricatured;k 3:r I k @ tS 3:r d;kɜ:rɪkə?ɜ:rd
seawolf's;s i: w U l f s;siːwʊlfs
hardie;h A r\ 4 i:;hɑɹɾiː
roedl;r\ @U 4 @ l;ɹoʊɾəl
protagonists;p r\ @U t { g @ n @ s t s;pɹoʊtægənəsts
crawly;k r\ O: l i:;kɹOːliː
villella;v i: l E l @;viːlɛlə
heavyset;h E v i: s E t;hɛviːsɛt
fitak;f I t { k;fɪtæk
hyperbaric(2);h aI p 3:r b { r\ i k;h?pɜ:rbæɹik
dictatorships;d i k t eI 4 3:r S I p s;dikt?ɾɜ:rʃɪps
paign;p eI n;p?n
polyhedrons(2);p A l i: h i: d r\ @ n z;pɑliːhiːdɹənz
swartz;s w O: r\ t s;swOːɹts
gosman;g A s m @ n;gɑsmən
marchini;m A r\ k i: n i:;mɑɹkiːniː
borkowski;b 3:r k O: f s k i:;bɜ:rkOːfskiː
sinfonia;s i n f @U n i: @;sinfoʊniːə
uncorrected;V n k 3:r E k t i d;ʌnkɜ:rɛktid
vogeler;v @U g @ l 3:r;voʊgəlɜ:r
curators;k j U r\ @ 4 3:r z;kjʊɹəɾɜ:rz
encroachments;i n k r\ @U tS m @ n t s;inkɹoʊ?mənts
underline;V n d 3:r l aI n;ʌndɜ:rl?n
lieson;l i: s O: n;liːsOːn
cutlery;k V t l 3:r i:;kʌtlɜ:riː
aircraft's;E r\ k r\ { f t s;ɛɹkɹæfts
jeanne;dZ i: n;?iːn
bootie;b u 4 i:;buɾiː
heninger;h E n i N 3:r;hɛniŋɜ:r
helmsman;h E l m z m { n;hɛlmzmæn
shollenberger;S A l @ n b 3:r g 3:r;ʃɑlənbɜ:rgɜ:r
backwash;b { k w A S;bækwɑʃ
tripods;t r\ aI p A d z;tɹ?pɑdz
smittle;s m I 4 @ l;smɪɾəl
jaguars;dZ { g w A r\ z;?ægwɑɹz
perez;p E r\ E z;pɛɹɛz
furthering;f 3:r D 3:r i N;fɜ:rðɜ:riŋ
blakely;b l eI k l i:;bl?kliː
sunsweet;s V n s w i: t;sʌnswiːt
stanching;s t { n tS i N;stæn?iŋ
akali;@ k A l i:;əkɑliː
pink;p I N k;pɪŋk
remlinger(2);r\ E m l i N 3:r;ɹɛmliŋɜ:r
cheerfully(2);tS I r\ f l i:;?ɪɹfliː
vapid;v { p i d;væpid
iavarone;i A v 3:r @U n i:;iɑvɜ:roʊniː
araki;A r\ A k i:;ɑɹɑkiː
entitling(2);E n t aI t l i N;ɛnt?tliŋ
matchmaking;m { tS m eI k i N;mæ?m?kiŋ
cornelious;k O: r\ n i l i: i s;kOːɹniliːis
servicer;s 3:r v i s 3:r;sɜ:rvisɜ:r
oi;OI;?
boeing's;b @U i N z;boʊiŋz
wenzhou;w E n z u;wɛnzu
nimmons;n I m @ n z;nɪmənz
sum;s V m;sʌm
zdrojewski;z d r\ OI u s k i:;zdɹ?uskiː
perales;p 3:r A l E s;pɜ:rɑlɛs
quito(3);k i: t @U;kiːtoʊ
bidders;b I 4 3:r z;bɪɾɜ:rz
intuitive;i n t u @ 4 i v;intuəɾiv
numismatists(3);n u m I s m @ t I s;numɪsmətɪs
skilling;s k I l i N;skɪliŋ
wolfley;w U l f l i:;wʊlfliː
defrauding;d i f r\ O: 4 i N;difɹOːɾiŋ
griffen;g r\ I f @ n;gɹɪfən
pio;p aI @U;p?oʊ
l'enfant;l E n f A n t;lɛnfɑnt
handers;h { n d 3:r z;hændɜ:rz
cizek;tS I z E k;?ɪzɛk
charities';tS E r\ i 4 i: z;?ɛɹiɾiːz
hominy;h A m i n i:;hɑminiː
organize;O: r\ g @ n aI z;Oːɹgən?z
boan;b @U n;boʊn
glassblowing;g l { s b l @U i N;glæsbloʊiŋ
mathew;m { T j u;mæθju
paull;p O: l;pOːl
kreifels;k r\ aI f @ l z;kɹ?fəlz
idyll;aI 4 @ l;?ɾəl
whidby(2);h w I d b i:;hwɪdbiː
munni(2);m V n i:;mʌniː
schwartzberg;S w O: r\ t s b 3:r g;ʃwOːɹtsbɜ:rg
delray;d E l r\ eI;dɛlɹ?
approve;@ p r\ u v;əpɹuv
schlicker;S l I k 3:r;ʃlɪkɜ:r
songy;s A n dZ i:;sɑn?iː
thiem;T i: m;θiːm
cahoon;k @ h u n;kəhun
jelen;dZ E l @ n;?ɛlən
o'gorman;@U g O: r\ m @ n;oʊgOːɹmən
castorena;k A s t O: r\ n @;kɑstOːɹnə
electors;i l E k t 3:r z;ilɛktɜ:rz
romany(2);r\ @U m @ n i:;ɹoʊməniː
vesser;v E s 3:r;vɛsɜ:r
mukhopadhyay;m u k @U p A d j aI;mukoʊpɑdj?
radtke;r\ { d k i:;ɹædkiː
casual;k { Z @ w @ l;kæʒəwəl
verrilli;v 3:r i: l i:;vɜ:riːliː
matteson;m { 4 i s @ n;mæɾisən
lasco;l A s k @U;lɑskoʊ
whittenburg;w I t @ n b 3:r g;wɪtənbɜ:rg
cathey;k { D i:;kæðiː
rakocy;r\ @ k @U tS i:;ɹəkoʊ?iː
renditions;r\ E n d I S @ n z;ɹɛndɪʃənz
floater;f l @U 4 3:r;floʊɾɜ:r
personable;p 3:r s @ n @ b @ l;pɜ:rsənəbəl
holz;h @U l z;hoʊlz
cole;k @U l;koʊl
shiyuan;S i: u A n;ʃiːuɑn
unwritten;@ n r\ I t @ n;ənɹɪtən
attleboro;{ 4 @ l b 3:r @U;æɾəlbɜ:roʊ
temco;t E m k @U;tɛmkoʊ
mosaics;m @U z eI i k s;moʊz?iks
buren;b j U r\ @ n;bjʊɹən
amid;@ m I d;əmɪd
awb;A w b;ɑwb
bunowski;b u n aU s k i:;bun?skiː
graze;g r\ eI z;gɹ?z
gaulle;g O: l;gOːl
sylvia;s I l v i: @;sɪlviːə
hajjar;h A j A r\;hɑjɑɹ
millikin;m I l i k i n;mɪlikin
quickness;k w I k n @ s;kwɪknəs
bernadino;b 3:r n @ d i: n @U;bɜ:rnədiːnoʊ
global's;g l @U b @ l z;gloʊbəlz
westmark's;w E s t m A r\ k s;wɛstmɑɹks
salesperson;s eI l z p 3:r s @ n;s?lzpɜ:rsən
basehore;b { s i h O: r\;bæsihOːɹ
specification;s p E s i f i k eI S @ n;spɛsifik?ʃən
seasick;s i: s I k;siːsɪk
conduit(2);k A n dZ u i t;kɑn?uit
curatolo;k U r\ A t @U l @U;kʊɹɑtoʊloʊ
trachea;t r\ eI k i: @;tɹ?kiːə
sether;s E D 3:r;sɛðɜ:r
enman;E n m @ n;ɛnmən
yielded(2);j i: l d i d;jiːldid
pavilion;p @ v I l j @ n;pəvɪljən
holecek;h A l i tS E k;hɑli?ɛk
kallas;k { l @ z;kæləz
sirohi;s 3:r @U h i:;sɜ:roʊhiː
raso;r\ A s @U;ɹɑsoʊ
coward;k aU 3:r d;k?ɜ:rd
sled;s l E d;slɛd
pickus;p I k @ s;pɪkəs
propellants;p r\ @ p E l @ n t s;pɹəpɛlənts
skips;s k I p s;skɪps
papier;p eI p j 3:r;p?pjɜ:r
muskopf;m V s k O: p f;mʌskOːpf
hemann;h E m @ n;hɛmən
tenpin;t E n p I n;tɛnpɪn
bitterness;b I 4 3:r n @ s;bɪɾɜ:rnəs
presents(2);p r\ i: z E n t s;pɹiːzɛnts
slaughter;s l O: 4 3:r;slOːɾɜ:r
alberty;@ l b 3:r 4 i:;əlbɜ:rɾiː
costars;k @U s t A r\ z;koʊstɑɹz
evrard;E v r\ 3:r d;ɛvɹɜ:rd
adrea;A d r\ i: @;ɑdɹiːə
fagley;f { g l i:;fægliː
janardhan;dZ @ n A r\ d @ n;?ənɑɹdən
shirts;S 3:r t s;ʃɜ:rts
magdala;m A g d A l @;mɑgdɑlə
morgenroth;m O: r\ g i n r\ O: T;mOːɹginɹOːθ
snowboarders;s n @U b O: r\ 4 3:r z;snoʊbOːɹɾɜ:rz
accosting;@ k A s t i N;əkɑstiŋ
krewson;k r\ u s @ n;kɹusən
goulston;g u l s t @ n;gulstən
directories;d aI r\ E k t 3:r i: z;d?ɹɛktɜ:riːz
aungst;aU N g s t;?ŋgst
whirley;w 3:r l i:;wɜ:rliː
bridesmaid;b r\ aI d z m eI d;bɹ?dzm?d
archuletta;A r\ k u l E 4 @;ɑɹkulɛɾə
counterrevolution;k aU n t 3:r r\ E v @ l u S @ n;k?ntɜ:rɹɛvəluʃən
decanters;d I k { n t 3:r z;dɪkæntɜ:rz
delarosa;d E l A r\ @U s @;dɛlɑɹoʊsə
ruest;r\ u s t;ɹust
unsullied;@ n s V l i: d;ənsʌliːd
slovak;s l @U v { k;sloʊvæk
